,place_name,place_id,lat,lng,type
187,GilGal Livraria Evangélica,ChIJCZATM3v_sgcRJyRJTA6hauU,-5.7962757,-35.2201771,book_store
188,Índia Brasil,ChIJEbSNpXIAswcR0VIa8MyXtjc,-5.787086200000001,-35.20441169999999,book_store
189,Santa Clara Cafeteria,ChIJcb6iVfr_sgcRVWNoKc8tqbc,-5.811363999999999,-35.206191,cafe
190,Coffee Hall Nalva Melo,ChIJ6YM6QXAAswcREYEuf5OK838,-5.7773534,-35.204712,cafe
191,ITALIA CAFE,ChIJexv0h0EAswcR2x_xONjV1Gc,-5.784106500000001,-35.1907807,cafe
192,UNILIVREIRA - Editoria Salgado Filho,ChIJu1ooVvv_sgcRW3rOLvJonxs,-5.809740999999999,-35.204192,cafe
193,Baba de Moça,ChIJNa18jYv_sgcRtKxDallZal4,-5.818285,-35.20638,cafe
194,São Braz Coffee Shop,ChIJt76iVfr_sgcRSvGtYnGirxs,-5.811254099999999,-35.206223,cafe
195,NicHouse134,ChIJ1_d6UaqqswcRNTQqPa2U1HU,-5.800815,-35.217891,cafe
196,Balzac Café,ChIJt76iVfr_sgcReQ3Af8LTeyA,-5.811254099999999,-35.206223,cafe
197,Distribuidor Independente Herbalife Natal RN - Kênia Raissa e Paulo Jr,ChIJ7-J5aWZVsgcRtl7eTpz1aO0,-5.8205548,-35.2098887,cafe
198,Colirioos,ChIJgRmVn2xXsgcRNz4x3qHw8UQ,-5.918565000000001,-35.2718609,cafe
199,BooKafé Macaíba,ChIJReW0fjFSsgcRQ6eJz02O_R0,-5.854036900000001,-35.3519453,cafe
200,Casa do Chá,ChIJP5mbTuBUsgcR3uC1cxG_QDg,-5.821042899999999,-35.2605463,cafe
201,Lirius Boutique do Pão,ChIJf12emxAAswcR0XI6y_rvO_4,-5.812386999999999,-35.22651409999999,cafe
202,Virgulinu's Bistrô Regional,ChIJRWK8_XpVsgcRyKCZqKvs2Zk,-5.8363242,-35.2248418,cafe
203,Barbearia Novo Visual,ChIJf1F43C-pswcRvXl_OKM6Fn4,-5.753854,-35.264493,cafe
204,Crowd Coffee Brasil,ChIJgccphvT_sgcR1psXaub8z1Y,-5.8172592,-35.21847450000001,cafe
205,Abimileques Soares Dias,ChIJoT4VlKuqswcR30wtoURE32w,-5.801277199999999,-35.2192324,cafe
206,Puro Sabor,ChIJOY-olaiqswcRbQw6jcJ9jVs,-5.796578999999999,-35.2187899,cafe
207,São Braz Coffee Shop,ChIJu5y2UUWqswcRfu4F7Gvhe70,-5.7578474,-35.2472241,cafe
208,Espaço Vida Saudavel Herbalife,ChIJlcCcu_yqswcR8obBu6OIunA,-5.748664,-35.30780699999999,cafe
209,Igreja de Cristo em Boa Esperança,ChIJR6Qy5QpXsgcRhq_fy7Wdfow,-5.925873999999999,-35.26187499999999,church
210,Igreja Batista Sinai,ChIJpzHYBGEAswcRtIYFEBIbjO4,-5.773348,-35.196129,church
211,Igreja de Cristo no Brasil,ChIJd9EH-UCqswcRPGnoN9Z1DgI,-5.751750599999999,-35.2397475,church
212,Paróquia de Santa Rita de Cássia dos Impossíveis,ChIJHda4rDP_sgcRnh9utPr3REE,-5.8751983,-35.1845756,church
213,Natal's Metropolitan Cathedral,ChIJ9f__t20AswcRTZuPUT_qk1I,-5.788080000000001,-35.203762,church
214,Rafael Léo,ChIJW6yq2oNVsgcRC-F7pdL4g58,-5.850517700000001,-35.2230892,church
215,Paróquia de Nossa Senhora Aparecida,ChIJraA3pWD_sgcR6bMvlxdghc4,-5.857478899999998,-35.2096761,church
216,Igreja Batista em Parque dos Coqueiros,ChIJzVc5k6CrswcR2D0CLuui-WE,-5.7607476,-35.2728379,church
217,Paróquia de Cristo Rei,ChIJmSwf8WD_sgcRnT5lurZbk-s,-5.8698263,-35.2085648,church
218,Comunidade Evangélica Integrada Amazônia - CEIA (Casa Pastoral),ChIJ-R5fuFlVsgcRw5P_q3M37fw,-5.8147798,-35.2185788,church
219,Igreja Presbiteriana de Parnamirim,ChIJvdRJfAFXsgcRh9pbW1cVIZo,-5.909846,-35.26408499999999,church
220,Evangelical Church Assembly of God,ChIJAU2oBnxVsgcRtHrqBT6pUpg,-5.834924300000001,-35.2206686,church
221,Arquidiocese de Natal,ChIJCZF0DBEAswcRSRRGxq6X5ng,-5.7881673,-35.2035321,church
222,Paróquia de São Sebastião,ChIJw_Vsrq2qswcRk--ZfPrr1pk,-5.8013197,-35.2229604,church
223,Igreja Adventista do Sétimo Dia de Cidade da Esperança,ChIJgxnAbxVVsgcRsrC3fwI0TdQ,-5.82121,-35.23887499999999,church
224,Primeira Igreja Presbiteriana Independente de Natal,ChIJVy8BtnIAswcRKd3vUWLJSlE,-5.7872088,-35.20512250000001,church
225,Igreja Batista de Capim Macio,ChIJkdE-e0P_sgcRD5dJBNb2Wdg,-5.862545099999999,-35.2018155,church
226,"IEADERN - Assembleia de Deus Amarante II, setor 28",ChIJ5Sj87A2rswcRiV6LAdfmMig,-5.7746341,-35.27700890000001,church
227,Igreja Evangélica Assembléia de Deus em Parnamirim/RN - ADPAR,ChIJiat4PwtXsgcRluihtMGjyP0,-5.9241144,-35.262854,church
228,Igreja Presbiteriana do Pirangi,ChIJt0j4DlP_sgcRm25fGO7NYuM,-5.875102900000001,-35.2083758,church
